"id","household","kids","vehicles","priceExpected","incomeExpected","businessExpected","financialStability","investments","income","age","employmentSector","region","hoursPerWeek"
50563775.3287913,6,2,3,5,2,"Worse Off","Worse Off","Stocks",36,30,"Leisure and hospitality","West",30
50907826.3606226,6,2,3,-2,2,"Better Off","Worse Off","Savings account",64,30,"Manufacturing","Midwest",41
50825891.4653443,2,1,1,0,2,"Worse Off","Worse Off","Mutual funds",37,22,"Health services","Northeast",47
50756323.9274331,3,2,2,2,2,"Worse Off","Worse Off","Stocks",73,43,"Professional and business services","South",58
50727529.6686104,6,4,2,0,0,"Better Off","Worse Off","Stocks",45,33,"Other","West",33
50801701.5387723,3,1,2,7,0,"Worse Off","Worse Off","Stocks",31,28,"Professional and business services","Midwest",42
50789836.5763653,3,1,3,2,-1,"Worse Off","Worse Off","Retirement account",115,44,"Education","Northeast",44
50819071.892014,7,4,2,0,1,"Worse Off","Worse Off","Retirement account",29,58,"Construction","South",41
50872085.8182367,5,3,2,7,2,"Worse Off","Worse Off","Savings account",40,35,"Wholesale and retail trade","West",36
50721037.3109993,2,1,2,-1,1,"Worse Off","Better Off","Savings account",61,NA,"Wholesale and retail trade","Midwest",53
50887855.8783938,4,1,3,0,2,"Worse Off","Worse Off","Retirement account",44,27,"Other","Northeast",45
50919767.1014267,4,3,1,0,2,"Worse Off","Worse Off","Savings account",39,50,"Financial services","South",28
50781300.4556319,5,3,2,2,0,"Worse Off","Worse Off","Retirement account",46,46,"Leisure and hospitality","West",34
50795806.8301299,7,4,3,1,2,"Better Off","Worse Off","Stocks",54,27,"Professional and business services","Midwest",34
50797865.3209599,4,2,2,4,1,"Worse Off","Worse Off","Retirement account",56,26,"Other","Northeast",39
50911849.9709439,3,2,1,3,1,"Worse Off","Worse Off","Stocks",59,29,"Financial services","South",45
50816864.5910922,4,3,1,3,2,"Worse Off","Worse Off","Savings account",32,38,"Wholesale and retail trade","West",34
50811397.4791914,3,1,2,0,1,"Better Off","Better Off","Stocks",34,33,"Leisure and hospitality","Midwest",32
50846096.6733002,4,3,1,3,2,"Better Off","Worse Off","Stocks",33,50,"Public administration","Northeast",38
50928427.1805444,3,1,2,-3,2,"Better Off","Better Off","Retirement account",40,34,"Education","South",34
50967971.878595,5,3,2,4,-1,"Worse Off","Worse Off","Stocks",45,38,"Public administration","West",40
50799892.3621262,4,3,2,-1,2,"Better Off","Worse Off","Retirement account",64,47,"Education","Midwest",39
50857888.653993,4,3,2,0,0,"Worse Off","Worse Off","Stocks",33,32,"Leisure and hospitality","Northeast",45
50955662.4735535,5,3,2,-2,0,"Better Off","Better Off","Retirement account",39,23,"Other","South",37
50896808.9569985,4,2,2,4,2,"Worse Off","Worse Off","Bonds",30,54,"Transportation and utilities","West",32
50785095.6132512,5,3,2,4,0,"Worse Off","Worse Off","Bonds",23,50,"Health services","Midwest",32
50949327.5673628,5,3,2,0,2,"Better Off","Better Off","Savings account",60,46,"Professional and business services","Northeast",31
50943431.3315582,4,3,1,1,1,"Worse Off","Better Off","Stocks",31,37,"Other","South",33
50821311.7110877,3,2,1,3,1,"Worse Off","Worse Off","Stocks",45,34,"Other","West",39
50931694.3299843,5,3,2,5,1,"Worse Off","Worse Off","Savings account",30,45,"Wholesale and retail trade","Midwest",35
50982544.8020306,5,3,3,0,1,"Better Off","Better Off","Retirement account",45,23,"Wholesale and retail trade","Northeast",51
50886502.1635094,4,3,1,2,1,"Worse Off","Worse Off","Savings account",44,48,"Education","South",40
50727282.4706923,5,3,2,1,2,"Worse Off","Worse Off","Savings account",66,50,"Financial services","West",33
